Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
TOTAL,589317440,627327031,578590151
854231,43812350,51747712,55030544
854239,49596876,54657591,56369321
851712,35935172,42138767,37045424
854232,42179369,46080479,35367127
851770,29932958,26189372,27059466
847330,18782275,23780075,20055636
710812,29349511,23546262,13451088
710239,18898428,18890565,16403190
711319,9575973,12419488,12860562
853400,9518635,9992839,9017835
851762,9190071,8122928,7261961
330499,3666415,4872871,4645634
841112,2551685,3822278,5310563
847130,6307662,7254295,5640310
847170,7124642,7875530,6955261
852990,8519755,7181848,6476742
271019,9015656,11970078,10851127
852351,3905024,6376779,4071791
853690,4723878,5040894,4715068
841191,2590340,2981049,4335356
854129,3667287,3901013,4113097
854140,3775736,4484742,4023740
847180,3046351,3505361,3249877
850440,3905141,3920286,3824892
854233,2643157,2500746,2721823
711291,870662,787608,834270
853224,2779870,4346945,3053172
711021,1481460,1490623,2951191
854290,1745483,1503520,1803264
850760,2075506,2483007,2713975
901380,3628135,3130912,3461055
844399,3677950,3414274,3164148
847150,3253419,4487101,2860987
852580,2981543,3423156,3224540
854110,2144672,2212877,2065212
970110,813530,2343685,3560771
854121,1891704,2463507,2071822
854442,2406927,2342142,2135087
271121,1167660,1242859,1336764
850450,1900272,1918790,1789867
910121,1411839,1691800,1537261
850490,2184831,2275757,1792558
910221,1783757,2117747,1895362
854370,947554,1344134,1510753
851830,1637855,1882839,1906883
300490,1519505,1570718,1420321
20230,1568604,1769811,1400280
420221,1930072,2029401,1926230
700319,1154913,1143009,1207418
847989,1178561,1352966,1267673
854160,1825115,1638648,1552339
711011,1375285,1428672,927390
950300,1972185,1670141,1529598
854390,737918,807951,1066405
999999,594531,785408,932594
711311,2565855,683248,760704
710691,796457,773382,895450
854190,840460,748914,688868
210690,903281,1143004,999137
392690,1112244,1111557,1051394
950450,1456186,1868650,1117658
853890,1174725,1153913,980775
20629,979850,1132677,1011098
847160,727878,790548,760513
853222,977401,1055487,901134
220421,1470127,1465881,1056547
420222,648704,883443,906990
853650,1200950,1189923,993389
910211,1542566,1598469,1377862
80929,441915,835167,989897
901390,660270,576400,444204
40221,1205122,1428172,1443525
711031,163845,171799,379502
271600,822020,788583,844539
850110,1062117,977682,806623
382200,356449,424095,397172
710391,782345,905119,838984
900120,735019,743004,663817
900190,565888,472190,545153
390330,1107229,1094335,829198
10129,129299,259488,672560
901890,485747,601995,620705
721420,735917,798061,708407
854449,1008631,1132176,1000573
81060,295651,351996,482356
854890,430866,564328,574405
20714,1141970,1068092,918206
880240,1617320,1400205,1025304
610910,736287,826313,757159
853710,638339,745229,819527
611020,1111797,1134315,967939
330300,476583,567337,537447
900219,559133,545623,766496
382499,462689,492775,440004
710231,1601962,1974449,1306161
902790,291522,349000,466840
220190,613735,611726,613539
903180,438930,478169,499504
850431,695221,728609,609326
848690,719818,982782,566312
20329,827816,552154,447854
900410,783054,825379,804901
20649,960959,770119,542085
80610,487757,497028,522651
630790,137873,150073,155570
853340,549702,588673,514525
640399,1304103,1088341,990205
391990,642061,662949,672569
844331,584313,675626,569490
870323,774256,967500,774215
490199,522475,548757,506840
903190,491518,564571,376003
950490,1185989,486061,348617
851890,897657,832838,719344
853321,533685,559447,437585
711029,69288,57832,16312
240220,708019,817228,757462
851810,334779,407811,431631
870324,583692,764100,765787
420292,633761,645287,603032
852290,661746,507609,535768
852349,373631,511725,503691
251749,35300,63069,230946
880330,198588,510502,648022
853669,513676,463860,376730
600410,654870,602982,496632
700600,69088,55244,131933
903040,327793,389969,312661
600622,627139,663263,548723
300420,406437,484127,438850
390740,684996,717987,472173
841459,448467,460141,384089
902780,447026,455357,439756
850980,156207,189645,233396
950639,451245,466392,450940
902720,381460,447289,322934
390210,522890,514329,404572
620462,788390,767848,639824
841590,452101,414265,426105
970600,490832,472414,722981
853630,313280,339358,364053
611030,645664,612910,515173
901819,173551,209182,231759
846799,290642,300047,254021
732690,378880,372088,357606
900211,117015,344499,497200
850300,464395,457071,384824
381800,254685,199211,191096
271012,440138,547140,453159
10392,420627,408072,323661
900319,264170,320781,343030
621210,743977,593726,495194
900311,389035,436701,397746
880320,400309,419284,468850
901320,164646,214764,207228
848620,78678,128484,209678
844332,417672,450908,347179
910212,606875,521409,469906
80510,333635,368434,344759
490300,344232,376528,336737
903300,332122,361357,272111
70490,281743,222833,254453
100630,243205,290821,291118
270112,786200,947041,684219
851690,324992,350981,274130
330410,182478,203613,169813
910129,327187,436064,389933
847340,323156,310018,320194
190590,287553,329705,309826
30572,264362,392378,316586
710420,86442,232824,308072
853190,464494,405851,339711
852859,167856,239881,398137
741021,288454,246081,237711
851829,300457,319478,255176
848640,142614,175423,250808
903090,148420,248988,179387
210390,232247,236242,251673
852352,274234,236973,273752
70999,36054,65798,131680
730890,329298,269607,252170
853610,240665,250829,247748
160249,333441,374444,272366
841510,277678,295545,275450
850650,281801,357578,280028
611011,395705,425421,344754
890392,126053,113472,185958
851821,189466,234615,206467
620422,5029,5869,2179
350691,294418,331344,254943
853641,424113,416886,317576
842952,563102,597833,369682
900150,180054,200071,248171
910811,435955,441439,378528
420231,505170,468505,435748
620342,508665,536771,449129
640411,190122,319910,444175
220299,236663,255178,263549
30617,337453,349652,311336
848210,274456,265251,243017
853221,408203,420408,233222
902519,99481,104479,93942
903289,249807,261938,287751
901920,54548,61523,72258
300450,171018,168346,195831
901839,185159,243175,269724
640419,270742,317774,326535
901590,28504,54991,109667
284390,68032,94282,141852
710399,299954,327238,272172
420232,236942,271358,255636
903149,208906,196699,176408
190230,172894,182180,182792
740400,209750,315497,578497
852872,331990,268556,199631
180690,269982,288071,326154
848071,321397,346268,264900
871160,10328,105883,243135
390799,267163,277641,245094
870322,173168,210092,149225
252329,241006,289458,156946
853120,224379,256169,255314
640359,352810,349984,352668
40721,173724,207040,207409
901812,157655,182878,243691
80810,181113,198108,252172
940540,325509,261765,279745
848180,213796,242280,191332
721633,172041,196502,247149
853225,211335,235292,185368
940360,234189,239125,229837
850610,228100,198950,193697
851822,417952,447551,332352
700529,93278,86250,193820
590390,211781,240954,253463
220890,192815,255478,233994
392062,216423,257276,275647
290250,238407,289351,245818
841989,84737,94092,94175
853290,87343,79103,123180
870380,272281,18257,120664
847990,345055,251941,239065
843131,171508,165524,272128
482110,390896,322023,279131
681091,306509,140174,119143
854470,178391,172585,182338
854130,214558,203966,199098
903210,217065,236835,226401
81090,170217,152832,188759
852910,198981,228966,234227
970300,132226,281792,402052
852852,100186,112191,140743
20711,167661,159867,172317
901910,106572,147614,123354
160232,239415,201505,193104
410792,436879,350635,312135
640299,377715,327642,281278
843143,80921,85595,114263
850811,99871,133315,163177
847149,323463,487364,273543
911490,254360,278106,285393
71239,99282,153026,124585
850239,51815,3758,88609
80450,58097,49207,87177
711041,48400,75397,104036
340220,142738,154855,164884
851671,176491,155092,191170
380894,25638,20580,20256
230910,139575,134048,139238
30289,184001,162979,146270
851290,286941,297903,182500
300215,71296,128345,137347
410712,416196,338437,223137
610990,230455,250602,205145
620520,383095,356196,282433
711719,264568,276827,276166
902750,142789,166028,177325
392099,180910,165499,156885
710490,127251,313542,211551
870210,299211,293221,203911
847050,73644,85851,121147
847141,159509,182750,222089
851660,146764,161502,148183
30819,201269,222455,199703
271113,218185,233050,186876
20130,136106,156228,163931
20220,274416,323662,236067
842139,64472,91121,99388
330420,118226,150528,127715
220820,248362,283742,220154
640391,193256,206412,209165
910111,327584,238914,191247
850750,165423,165112,151994
840991,189040,199914,183396
903290,323742,274195,193923
761699,123089,134899,123311
853229,197945,219091,161362
390890,306843,257374,144089
830890,169622,245858,243281
620443,278520,279324,240139
761090,145622,145292,144170
41000,227160,166247,188055
842199,115061,106789,114268
710122,184230,179817,155745
900490,167685,199281,181931
392321,157420,151394,144652
640219,39644,114426,188535
30389,113809,129884,133613
420330,188471,190472,208297
852691,267446,249584,198203
481920,202430,210222,194665
610510,229024,243007,213366
391910,178377,151674,118055
481820,114220,119563,123726
910229,169474,227958,165675
