Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
TOTAL,51612277,41236168,35172445
999999,4140736,2734080,346640
100590,1632588,2107882,1510810
100630,1213932,1622116,1469222
120190,943342,1161100,813401
100199,0,0,27217
151190,367053,290295,278778
90240,278763,290461,366008
300490,444066,451554,325058
230400,503259,651244,847254
170199,399,67,86921
170114,0,0,347928
870899,10272,14391,142639
240319,22363,1080,222016
540752,103710,37832,287873
870710,12967,9405,39247
100390,518438,602631,590095
851712,528931,341099,1071497
851761,382750,182417,156274
841480,154735,280582,44506
80390,34,20,147727
80280,0,0,60420
300212,150116,218884,116220
852872,759,69,416073
520100,140172,137842,162399
300215,18611,5674,136601
843143,34395,16772,21411
840991,130922,89599,76265
841430,242371,239071,92635
848180,102096,105748,157548
901890,121019,57295,125166
901839,279559,271244,157865
210690,247084,200435,144881
382200,61057,70033,86569
870840,205077,198567,36380
841370,27449,26886,88727
120991,115861,85444,88623
851770,56460,36125,130978
841790,32529,61661,54323
271600,0,0,63456
848210,68703,58806,82427
902129,38276,42842,52440
840734,136240,119983,28025
870830,79628,29200,46351
721012,80764,48636,74811
330210,93773,68608,72367
950300,94783,28429,101242
382499,38037,34315,86093
848340,25724,26041,33905
294190,91353,68621,103989
851762,381185,205379,154706
870829,43104,31892,59461
401120,102471,164444,300145
851890,9968,3789,99769
847989,241787,314849,68830
853710,89781,74821,78738
151211,423797,521917,390062
871410,31767,21647,40778
901380,3968,2496,92538
860400,6,3476,1897
850140,26673,15006,53545
390720,7484,5290,98134
840999,143783,48912,49042
841990,47653,44155,53311
294200,42411,85150,62849
390690,89987,101152,58232
902190,17984,15859,65410
400122,14340,23322,74218
850440,79204,60709,70817
330290,52374,56280,50677
481159,95595,105674,79165
392690,112120,72565,54632
902214,55380,40253,60459
300431,164097,170770,60316
320611,85433,74167,78408
900219,1117,97,119197
871120,305,98,24179
841780,24741,7907,10623
848120,34092,26538,30846
293399,11657,11977,49465
902212,31492,14329,19010
300390,7317,7466,78097
841391,42026,31958,38160
721070,77690,41940,38026
902139,39164,48159,55966
260800,53651,26815,54998
870880,59802,31543,34507
600192,900,173,70184
940540,34193,14988,123891
150710,228132,121923,69161
