Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
TOTAL,33569729,35866655,33530893
999999,45207,41665,46979
870324,1861293,2113371,2123123
870323,740629,830115,811467
880240,0,427,0
740811,56315,73606,62410
300490,724605,722378,729526
730429,176984,325847,412864
630790,11885,13094,12625
890120,0,351,24
271111,0,0,9
100630,251049,295921,355664
851762,169131,160803,204292
740311,46229,59203,39671
870322,73266,53202,268590
841112,11304,18316,6352
10410,203424,112503,163615
851712,1497164,1348734,1159315
903300,29966,32952,35926
848180,396408,439787,397133
300215,131423,195360,179293
870431,196452,271160,284701
20712,148864,166821,168937
100199,62317,90586,150873
854460,168352,117989,102465
901890,136776,145302,151233
210690,126346,111652,169370
382200,122656,80071,70932
340220,157839,160006,166295
711319,714189,710191,692458
330499,161444,186555,207411
870590,34060,17889,54318
392690,72505,93043,163131
621010,80632,113294,115331
847989,80385,62154,51591
950300,55097,58896,54451
730890,275980,453215,408001
40221,92953,97767,87013
40291,26865,32249,43543
401110,109377,114904,124051
100390,123182,139479,118375
20230,78243,83351,74731
190590,81486,82787,90641
940360,77664,97053,86667
220299,31373,31520,33706
910221,45843,53449,44206
870340,0,0,0
240220,198527,285408,276409
690721,47394,49067,57150
852872,98449,101289,83579
40690,74036,71333,77021
843143,448089,165253,284354
691010,11398,12273,11807
841510,73260,74510,62840
870510,77717,86290,17688
961900,76405,78408,80826
611020,25925,33565,32415
40210,36893,28820,26999
853710,123871,219834,109682
903180,34587,37304,19669
940540,78201,60442,54831
720310,65600,132053,84881
20714,103663,116259,113336
40630,64999,70217,68554
940320,59819,69702,53252
854449,139226,173871,79355
841370,139120,188872,85321
843049,45593,13796,60102
330210,2629,1913,2419
870899,125354,149707,173071
200410,45009,49918,54861
870290,72282,41356,25008
420221,60996,58679,52467
910211,75658,80175,71952
730419,105739,86237,97858
401120,44739,52344,51931
721310,404,421,25616
841391,53900,54988,76553
730300,77883,105829,74919
392410,49893,56695,64409
300420,127358,76861,71059
940510,52049,57274,48966
151529,10402,11961,16389
880330,4695,1452,11635
732690,70607,90471,68998
730520,4658,1686,16957
870422,61021,66706,80197
870530,9030,305,12590
20130,34545,33208,33202
940171,14557,21581,17493
901819,28482,21140,33756
848190,54282,46622,58140
210390,45737,47231,50642
940161,59331,52089,55589
180690,63991,78008,67882
20110,65362,77518,111725
20410,26550,14156,10716
271019,127909,142978,138239
850213,85486,87406,56481
850710,53844,57432,53027
190110,76842,89793,102027
330300,117550,126422,128740
842810,44949,52323,30772
853720,26049,56778,25699
901920,18226,16497,17917
70200,36872,32509,34718
300212,61535,35894,40961
901839,34462,37559,39381
854420,109749,103110,91674
843131,24231,16813,17954
841869,42764,57707,44715
80390,64276,58148,55472
871000,2846,66,130
910121,18773,19761,41390
40721,1283,1973,3310
721049,47305,49876,53948
850440,57169,67973,61415
390410,32383,35019,236596
940350,53602,48082,49356
761090,23707,24788,39073
170199,75045,56830,44990
40310,44409,51391,56503
841583,23532,22045,25828
300439,84979,47789,61764
680291,28513,33085,27168
691110,23947,26485,20673
80410,20762,29232,32422
190532,21166,26984,30624
950691,14593,14201,12938
940490,36044,40340,39641
330290,8116,15543,18175
160414,33100,26792,32725
841490,62057,480245,75864
200990,55583,60005,37118
610910,98996,122023,145814
90831,14891,21414,23013
382499,35958,52397,72968
710812,421592,629202,367311
40110,6152,21122,18981
640399,40722,47243,49218
90111,21837,21113,21322
190531,51136,47448,51890
540752,19654,21172,23164
903289,46665,91473,57924
940290,33270,26486,22876
847130,205741,177165,181003
190540,15379,22005,26132
841199,167532,142388,144289
300290,15621,10892,18092
570242,15232,15611,17535
30617,31258,35137,34094
854370,14619,22204,24833
40610,17637,25543,26913
940390,26645,34745,32579
690723,15896,19467,20913
100590,68641,45136,45287
381519,129849,104659,132951
841430,41667,40664,39907
570330,16279,15824,18096
842833,3207,4772,3551
40510,26094,25633,24771
820719,39188,37829,39940
392190,25323,25085,23711
847150,104782,93392,83149
160290,35266,40354,40731
680221,41298,43946,55259
70310,31779,37638,40789
842199,73400,45113,40644
870120,27114,26008,15715
60319,404,3249,4067
730423,6877,9041,25783
220210,54636,97916,21203
930690,1083,1662,357
190219,19965,20240,19814
392049,9929,10675,13073
381511,61303,44538,23259
190410,27980,24644,27024
841459,32896,29614,21059
841480,71692,114635,55982
721070,20139,18569,10611
180620,13955,13971,17303
640299,34165,39068,37958
170490,33181,37005,35243
40900,10579,11230,12404
340290,24565,27798,31390
230990,19216,22313,22139
40590,18987,26530,23381
420232,8590,12406,14914
870421,83819,57506,97415
730820,16704,13819,10792
853590,41031,25761,13487
722530,18048,18087,31327
852610,3412,3003,1388
70190,38259,38200,33728
70999,40908,50434,54191
732111,22733,19580,18354
620443,25093,25887,21361
842890,23469,21799,48248
441233,24195,27448,23567
180631,33559,24034,24657
841810,11108,10644,11327
870829,35455,37481,33883
870423,16261,37924,18418
190190,18385,12598,8790
731815,40055,39026,33649
80510,43664,46477,41686
392490,15192,16500,11997
440712,20713,40997,35599
391990,24866,26225,16011
853890,60760,67567,65303
940130,15368,16876,15203
853690,45325,34074,33492
640419,51270,57852,61357
854442,65833,85002,58986
230400,35252,38364,35917
392310,14101,13231,11221
852580,42047,47551,31043
80810,25070,34637,37033
722540,19090,55443,83371
761510,13762,14436,13151
330590,45618,50627,49633
841850,14347,19854,13943
854620,5911,5883,4131
251110,22616,25163,21753
847990,14429,9712,9826
852990,7245,3445,9018
870360,0,0,41
340111,32381,37390,33648
732393,13333,12038,14962
392620,5396,8145,5971
481910,8835,10799,18657
180632,17879,14071,16440
611030,15804,14809,17049
481390,9597,10728,25842
220290,0,0,0
90230,54623,55894,60960
902780,33775,50262,23894
390690,23067,18566,22008
848140,63671,21094,19236
220710,1622,1895,1394
940330,28864,33732,26052
200290,16924,18401,15313
441114,20817,21525,20901
730424,21011,22290,13324
842129,72724,28651,61520
30284,1768,1212,302
870210,112543,105441,79955
732620,6180,7119,7350
680710,17977,19721,22517
830241,12417,16430,15588
420231,19922,23248,22611
390720,19551,21813,20694
844399,60092,62694,67194
731210,22017,12856,14664
741110,16297,19995,19867
551512,19613,20476,17467
40390,28645,31707,28882
890392,630,2589,924
854411,14613,12877,10326
90121,12108,15672,18093
252329,65929,84333,75850
80132,23381,22827,19625
70960,18698,17215,18760
380894,23796,11350,16244
851770,133402,100930,91305
843810,2822,6347,3780
151190,98,25466,20705
930190,80,60,31
870830,19337,19633,18998
420212,33171,34713,38726
901420,2001,10,946
392330,13104,15921,12996
730511,90839,104522,40354
80450,22501,18605,23112
620462,17949,18573,15118
481810,15497,22570,26203
760692,10580,23766,41439
80550,26475,21009,22169
220110,20771,18772,20573
870880,18568,17096,23605
847290,13856,10602,15289
842121,75469,64778,33777
480890,6830,6506,1892
151219,14068,19821,17863
841981,14256,18293,17260
300610,11689,14427,16330
854390,4052,7286,3996
760519,22442,14963,13599
847330,38323,20814,23233
870333,0,0,2008
610462,14441,18803,16694
730629,3117,3046,31011
901849,16620,13141,18900
732399,12546,15204,16983
121490,6803,5610,9584
610342,18692,21054,19943
961700,8849,10894,9099
970600,144,4232,4083
480300,20362,30148,24294
902750,17751,19231,7330
940370,5896,7218,6176
690722,9136,12171,13633
841590,30335,43214,29253
847490,13598,11631,14963
847180,13509,13958,9309
20711,8052,380,8480
620342,37364,32078,31821
382440,41006,43981,39706
390319,11191,8316,7794
440290,21840,20971,20331
850610,6160,5742,6782
845011,18255,16228,18334
630140,20716,24768,18785
950699,10131,10238,14459
871200,5513,5412,4345
481820,11972,10989,16248
391740,55029,21768,15502
330510,47803,55261,50904
300432,41947,42639,62922
481940,7063,9557,9943
851660,11523,13794,16299
848110,13060,22038,39412
640359,30837,28211,25665
420291,4637,6266,4919
701349,4990,5378,5083
720449,14,19,51
401519,4168,5260,4887
701090,5792,7025,8624
847170,32621,29267,22033
843149,74791,54192,93170
20442,17730,14607,10120
843041,84176,12880,82940
761699,15728,13292,16824
420292,14948,17865,18452
420222,30985,39148,46822
760612,33752,38807,27429
851220,13286,13852,13006
200819,9079,12154,12507
902710,18748,13506,16313
901590,49552,46945,30295
902620,29240,30535,19461
870810,15075,14882,16333
680293,9577,12427,12999
160239,9678,8722,12031
300590,9637,16914,14348
481092,7196,3994,4970
401693,22470,23876,21736
850940,16771,20377,18236
30389,4696,5608,6119
390761,16327,36388,17563
842641,35895,17935,15228
281820,13022,13256,18769
381512,27433,23102,24987
392350,11189,12944,11213
282570,9136,15091,14657
902790,32768,24784,23173
80212,15748,16880,20182
121300,30179,32082,26521
321410,20568,24017,25394
481019,21622,26003,17888
381590,25903,25617,15330
720836,539,59587,40048
842123,20442,20299,21001
760711,11712,10946,13659
610432,2182,2177,1490
841990,38731,20259,12014
390110,31032,25390,22874
81340,3136,3135,2361
40299,20402,37873,32150
290220,76245,113251,108841
730799,74563,48343,29473
392010,15165,16564,11696
230910,9703,13077,12249
71080,5352,4504,4181
701990,25227,48727,29163
480256,9392,8547,20201
902139,8282,10720,10678
741300,7042,5372,6104
850423,5520,28067,44967
360200,12518,6333,5925
60311,18956,19439,19509
190120,18757,22317,15981
940389,6153,8339,8872
200599,21974,20807,50046
842139,111675,40897,52487
902214,16780,19152,8325
902610,53028,47590,30159
720990,28778,30550,16891
848340,7226,8372,7116
80610,17375,20994,27788
392321,12052,14186,11493
200570,9123,7644,8413
610413,647,936,526
680292,2042,2819,5422
620442,18835,18062,20289
902190,14669,22480,16055
300450,13093,15994,41559
730830,39792,78036,19870
20443,9873,8225,5924
940310,24454,19383,19024
841690,16635,4731,3272
841950,158367,110952,29376
840999,14622,13250,13634
382450,11670,21866,12635
940690,66864,40488,44558
902290,6972,13668,8948
210112,26119,10549,31013
731021,6477,6260,11194
621142,4453,4983,4462
840991,17965,13821,15063
610990,24685,26883,35875
350691,10730,12013,10726
830242,5412,7668,6118
540761,12291,10940,11227
841821,18759,20994,18998
890399,12908,10719,13447
843139,21165,32261,23057
720839,9593,27202,11550
850152,10685,11897,9774
40620,22510,20773,14450
851830,25364,52997,56122
300449,8611,10533,17561
482390,10348,10295,10484
600632,3349,4159,3267
940340,13840,14588,16200
160250,5071,4067,3788
20421,25021,34874,5178
551511,10384,9953,9885
842720,28032,29078,13406
853669,14449,10758,11690
210500,19317,23280,23084
902680,24279,19656,10737
200799,8614,7558,7477
730661,19032,11416,10886
151620,6964,10336,8276
20422,2801,5296,4950
852852,21843,16074,13883
871680,5986,7271,6180
81010,20640,23922,24151
210320,19592,18538,18323
842489,5956,7363,3510
610832,9140,8743,6825
482369,10522,10379,11652
340130,22198,24988,21427
850212,32811,20483,14544
841582,63748,63611,39996
481920,31954,13944,12831
852691,3529,2693,4229
390190,7043,6620,14122
940421,21563,20862,20739
300410,18239,13388,16197
250100,10344,10209,10031
853650,13252,12265,11310
