Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
TOTAL,126758508,135211178,144334893
999999,5599898,8520559,8641456
870322,495727,1183970,5033544
870321,880858,2076774,4751124
851712,4863530,4765887,5075693
271012,2223588,3421865,3260117
300490,2940860,3158346,2935048
851762,1114532,1083272,1800639
880330,2139166,2320210,2489533
100630,957353,1231478,1324980
710812,2547775,3137715,2330870
720310,352600,527067,1356279
841510,667819,550060,851082
847130,701852,747064,844575
848180,1025124,1020546,755727
740811,886084,810340,818530
210690,873837,736570,719038
382200,455532,595250,560882
740311,766296,671577,645895
870323,4450822,3071811,834901
20712,717031,797829,710287
100590,524586,639848,715094
690790,108539,205275,134986
100390,800252,1032611,541737
890690,742433,875904,618168
870324,3661032,2555471,289655
711319,818852,781010,1028825
401110,611130,626384,942226
190110,559643,513984,580541
240220,746672,427849,515800
401120,456993,441962,565651
870210,251724,377751,657391
840710,775038,421783,734760
300210,191997,236404,263364
40221,311480,275248,364756
630790,39149,49554,49081
890520,400117,1590033,1452976
847150,234810,352030,452574
20714,475200,409724,580864
890590,49802,778726,1811562
330499,397193,409579,456926
10410,576820,518101,565851
890400,16249,719683,987473
170113,286974,348034,331114
290220,515448,522455,481741
901890,380922,526203,419557
841391,261359,299797,363901
330300,340832,385669,461067
720839,319709,339310,284434
870431,756460,521795,562338
760120,166354,203023,170400
843143,615730,751344,772633
902830,28631,13227,15222
271490,639,239,817
870120,27070,32139,207501
940161,258839,242171,292239
190590,213226,259250,282400
392690,164086,220122,250591
720836,16167,115169,201232
230400,263894,344860,351797
720390,105206,318653,101013
870421,242218,169739,201843
680221,51644,188028,180388
120190,282031,222452,261607
880390,73378,109784,105648
271019,294031,236853,315425
40630,260465,253013,260299
160414,146261,194104,230322
880220,876,3227,512
90831,121864,85992,117727
730890,415040,416922,398896
847989,111585,172682,257199
610910,256916,275093,296959
121490,156074,265149,275162
20130,110840,106869,178023
841199,634998,572983,363410
848140,126895,133240,186467
901839,145974,182512,323236
170490,155485,213765,232606
950300,220384,201339,216992
180620,205501,234998,251600
901590,186612,195358,249768
852872,76555,113639,188740
300431,154054,143922,201386
440799,32679,38626,92221
80510,194189,212934,208865
200410,225644,184007,243365
40610,187015,174538,214663
853810,100501,111812,120923
732690,204800,217377,179267
