Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
TOTAL,327492650,370940515,359008256
854239,39506995,39537178,33443614
271019,34166675,38885569,31972720
854231,11588707,11557479,12638712
710813,11793332,12188693,8528482
270900,21405724,27968565,24224539
854232,5100834,9034107,10629779
271012,12530581,15522928,13927730
841191,6299087,8962304,11083992
847330,4871556,4903298,5647645
841112,314994,2922759,4635153
880330,5920649,7069759,7515708
851712,4982981,4872391,5021375
851762,2917678,3170534,3367706
854233,770405,1728399,2236167
847150,1262131,2095864,2335704
999999,2967611,3306930,4210183
844399,2550419,2514779,2183872
848690,2464860,2770746,2452341
851770,1013888,1774216,2663059
854290,2205275,2060387,1616201
330499,1592648,2084707,2413583
847130,1817311,1824985,1807007
711319,2564618,2791383,2986029
271121,2603109,3444462,2944396
848620,1398241,1738269,1309198
854129,1398432,1703334,1690366
901890,1329135,1328190,1384078
300490,1432288,1409065,1433788
841199,1672789,1295120,1474097
381800,1826491,1962134,1605801
847170,1854173,1496705,1565024
710812,1317529,1341075,1564425
903180,295657,594472,710840
293399,917583,1054413,1333900
711291,1402083,891859,3046975
293359,250186,571135,868763
880240,1671226,4366131,3960203
854190,1255190,1835753,1442325
271111,1244512,1729804,1594940
853710,729213,938227,1122284
852351,1178725,1199843,729002
853690,1305879,1384861,1157085
854140,1064110,1185708,1027130
630790,54238,52134,49668
870899,1019347,1353398,1365992
854390,1161612,1037901,1034137
850440,1013836,1003992,951792
392690,814241,855507,933778
847990,987185,877797,965347
853400,597727,673543,638617
848180,588932,702353,750230
390110,966256,1375238,1278024
903090,493093,515041,546775
843143,1055388,829264,952647
847989,520374,628941,737023
220820,750804,868984,846461
382200,500910,675782,554301
702000,224549,429978,572956
902790,612823,713707,677289
840710,312469,1064840,1306355
710231,884297,934651,684958
330300,817312,907734,841585
210690,364467,490716,609801
840999,669077,794644,709145
390120,736470,768316,909444
853890,599540,645755,728855
151800,112767,126224,379461
730890,378466,304099,431124
220830,604565,671355,634198
390140,0,271551,588159
910121,294967,379951,610303
852580,746818,726467,657970
853224,290543,564486,427861
381121,775299,715116,561414
240220,785017,838456,787352
300190,260636,398516,488835
848640,414612,482870,346148
854442,379468,406604,505714
150290,136,205,262
300215,0,404186,393936
760110,163933,139392,321108
848190,416982,416158,445841
290919,715636,857095,764935
420221,625504,678414,683877
870323,1039746,1043564,823237
732690,347635,421721,493505
847180,527782,483287,421024
843149,1102710,743680,604928
854370,264535,396621,448033
901920,294851,311356,289524
854110,502099,554697,462318
480256,562451,476869,464175
852990,628745,453924,486314
853222,368974,396076,356299
420222,207441,217871,337972
852859,173294,227278,419239
847590,101992,137038,164764
853669,272411,306790,315800
852329,289798,324145,345023
841181,167563,241752,757931
854121,585824,603833,518475
711590,126522,138139,177223
847190,254980,329031,310950
390210,458938,481920,430293
382499,0,356613,346270
902190,296641,329414,352861
850790,271039,366252,335914
848210,488607,479876,451623
903289,279682,336820,321035
903190,356670,333823,281746
761699,263644,363385,302024
851830,123902,187048,344042
621010,8641,8032,9544
841182,111904,275053,333114
854449,278911,315846,326784
711292,134173,214098,239739
853650,254548,318168,351924
850490,204314,218273,264182
841122,116746,360895,1009259
750210,167481,63691,393568
850450,261105,326456,318259
842199,225564,257064,306919
