Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
TOTAL,213215299,236868823,253442016
854239,13812327,15956451,18170636
851770,15204516,14802280,13267263
854231,6622602,7209790,11047942
854140,866923,1723199,3095809
852990,3131190,2695355,2934933
853400,3356674,3314284,3554704
270900,645539,2914298,3809033
271019,5579364,6441341,5000670
100590,1474889,2085299,2288632
392690,1276008,1537305,1751632
720839,1644841,1426658,2123609
850760,1063209,1302762,1660844
520100,2331827,2727485,2400181
999999,290383,3258629,3600566
853690,1725660,1716174,1898459
854232,105308,239639,585499
230400,1728209,2054226,1845242
847330,1060831,1061554,1391566
300490,1819985,1791125,1836425
732690,1029005,1114497,1324308
270119,353592,737785,1334034
720449,1381740,1866132,1603331
851712,1850351,1671646,1760807
740311,1429611,1525480,1592353
80131,2523137,1900260,1668415
270112,823290,1243149,1634989
850440,504546,542353,873558
260111,242193,683379,1057975
854890,893587,844628,939014
600632,841006,1091374,1245845
600622,861355,1131522,1222758
854290,485185,733076,757109
390210,1109911,1317760,1218376
847989,2890186,1140655,1125335
390110,914751,1098407,1164399
391990,921917,937684,825923
600410,716562,764730,875582
854449,495296,567721,727023
100199,993802,1176202,720289
841510,613931,691223,790286
901380,2138995,2979300,1567929
210690,526542,586243,798919
851762,630979,643396,679811
120190,707854,771016,686059
903180,1011990,703684,841370
722530,1675438,1677588,1125218
853710,492488,490743,628668
271012,2058824,1616992,1346619
410799,967355,929299,903074
851890,616467,649190,686818
151190,568737,541439,530770
390120,631288,811266,765806
853224,373595,526924,550608
700719,168317,202909,432328
900120,416873,576886,543823
761699,348932,1139299,883694
760612,498995,677973,679832
10229,284521,330352,553030
844399,591918,680787,667603
870829,474137,643254,723265
850239,774124,283610,530179
870322,248416,466716,913806
850450,331791,347497,434247
852580,678044,780232,945932
392099,565454,447701,631231
854233,24146,21153,54287
847130,481479,474039,572027
640690,332029,436801,550274
230990,478396,527076,504751
852859,89152,156666,294262
590390,462830,479621,584514
854442,276635,252665,334783
903290,264421,196809,424321
721913,446867,570982,558706
870323,448846,309600,646472
853890,303311,377091,471630
270111,140975,251089,547066
900699,413606,376964,326210
382499,0,430936,455618
390950,343649,435935,492195
600690,400148,464298,514601
392190,328460,416569,450693
551219,752524,785261,619006
760110,488407,494904,461407
847160,54030,61471,615986
760120,464012,509563,513377
590320,257410,355691,389377
903289,248793,283898,424041
170199,34258,29717,25459
900219,464361,492690,352543
20230,164290,217970,316978
300220,94712,130065,259662
853669,306151,265716,338726
730890,213120,317923,418979
720838,577690,806902,555685
390410,278057,292438,316623
271119,386513,453462,444443
870840,286347,338598,411153
481092,277792,368333,353914
291736,187496,346582,459695
230110,242169,328544,349234
300420,365892,341981,365543
