COUNTRYNM,VISA_DAYS
Algeria,0
Australia,90
Austria,90
Belgium,90
Brazil,90
Myanmar,30
Canada,180
Sri Lanka,90
Chile,90
China,0
Czechia,90
France,90
Germany,90
Guatemala,90
"China, Hong Kong SAR",90
Indonesia,30
Iran,0
Italy,90
Japan,90
Kazakhstan,30
Kuwait,0
Malaysia,90
Mexico,90
Mongolia,0
Netherlands,90
New Zealand,90
Norway,90
Peru,90
Philippines,30
Poland,90
Russian Federation,60
Saudi Arabia,90
India,0
Singapore,90
Viet Nam,15
South Africa,30
Spain,90
Switzerland,90
United Arab Emirates,90
Turkey,90
Egypt,0
United Kingdom,180
USA,90
