id,date,like,text,hashtag
diet_gunmi,2021-09-28 00:00:00+00:00,영상,"얼마전부터 뉴욕에서 먹었던 이 넘 생각나서 연어를 주문했는데, 오늘 새벽 1시쯤 배송이 와서 잠들기 전까지 을매나 설렜는지 몰라요..❤️ 점심시간 되자마자 후다닥 해서 먹었답니다😋 (재택만세🙌🏻) 1. 그릭요거트 150g에 알룰로스 1큰술, 살짝 짠맛을 위해 올리브 3개 다져넣기 2. (290kcal, 단백질 14g) 반으로 자른 뒤 토스트해주기 3. 베이글 안쪽 양 면에 그릭요거트 발라주기 4. 베이글 하나 놓고, 채 썬 양파, 토마토, 연어, 로메인 순으로 얹어주기 5. 나머지 베이글 얹고 포장한 뒤 반으로 썰어주면 완성! 증말…. 너무 맛있어요..🥺 칼로리도 낮고 영양성분도 꽉 잡은 다욧 중 특식 느낌..⭐️ 이번엔 그라브락스를 써봤는데 다음번엔 훈제로 해서 함 비교해봐야겠어요🙌🏻🙌🏻😘 23시간","['#건미다욧식단', '#에싸베이글', '#마켓컬리', '#연어베이글샌드위치', '#써드베이커리', '#쌀두부베이글']"
sh_mong_,2021-08-26 00:00:00+00:00,영상,"컬리에서 처음 성공한 과일, 무화과로 만든 샌드위치. 마스카포네 치즈4, 그릭요거트2, 꿀 1스푼 넣고 휘리릭. (견과류 넣으면 더 맛있지만 찾으러가기 구차나서 생략) 카모메 식당 보면서, 잠시나마 고단함을 잊게 해주는 맛이었습니다🤌🏻 4주",[]
bbangsori,2021-09-26 00:00:00+00:00,영상,<21.09.26.Sun> 여러분덜!!!!!!!!! 차자쒀요🥘 리뷰가 많고 좋길래 으로 시켜놨던건데 넘너무 맛있고 만족스러워서 강추👍🏻 에서 파는 🧡 완전 real 통통한 순대가 1팩당 9개씩 들어있구 국물도 얼큰하면서 깊은 맛이라 속이 쏘ㅏ악 풀어지는😖🎶 기호에 따라 다른 야채들도 넣고 끓여드시면 되는데 전 파만 더 추가해쏘요! 해장용으로도 좋지만 반대로 또 술안주로도 좋을듯한☺️ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아참 원래 5600원짜린데 15% 할인중이라 4760원에 샀어요✔ 여러분들도 드셔보새우🔥 ⭐ 마켓컬리 회원가입시 추천인아이디 sori121 쓰시구 같이 적립금 5000원씩 받아요🤗 2일,"['#jmt', '#순대국', '#해장용', '#마켓컬리', '#강창구찹쌀진순대', '#순대만순대국', '#먹스타그램', '#맛스타그램', '#해장스타그램', '#빵소리_마켓컬리']"
nnnnnnu_diet,2021-09-10 00:00:00+00:00,영상,": 1/2 반쪽만 먹어도 완전 든든한 무화과바질 샌드위치🥪 마켓컬리 유기농 무화과가 완전 달달하니 딱 먹기 좋게 후숙되어 와서 단짠단짠 더 맛있었어요😋 계란후라이 색이 다른 이유는,, 하나는 특란 하나는 그냥 대란이기 때문입니다🥚✨ 2주","['#210910', '#점심식단', '#누래_샌드위치', '#누래_점심', '#무화과바질샌드위치', '#디디미니레시피', '#디디미니레시피도장깨기_누래', '#마켓컬리', '#온더테이블', '#id_나의마켓컬리shd00054']"
one_home_food,2021-09-24 00:00:00+00:00,영상,💜맛있다고 후기 터진 마켓컬리 다이어트템💜 아진짜 칼로리도 낮은데 맛있으면...감사합니다🤤 @헉 이거 사볼까 . 4일,"['#마켓컬리', '#자취요리', '#자취방', '#자취생', '#자취생으로살아남기', '#칼로리', '#다이어터']"
liihaoting,2021-09-28 00:00:00+00:00,영상,"감동의 초바니,,,🥄 일기에 '맛있다'라고 세번이나 썼다❤️ -다이어리는 클래식 노트(포켓 사이즈, 플레인), 연필은 2B연필 14시간","['#하오팅다이어리', '#하오팅손그림', '#초바니', '#몰스킨', '#staedtler', '#스테들러', '#marslumograph']"
sunxlxg,2021-09-27 00:00:00+00:00,영상,요거트에 진심인 편이라 직접 만들어 먹기도 하고 시중에 나와있는 여러제품 사먹기도하는데 초바니 그릭요거트 맛있었어요🙂 제가 좋아하는 꾸덕꾸덕한 제형의 그릭은 아니지만 직접 만들어먹기 귀찮을때 자주 주문할것같아요🤍 1일,['#내돈내산']
dinnerqueen,2021-09-20 00:00:00+00:00,영상,이 시국 필수 멀리 나가서 먹을 필요 없다구 🤫 집에서도 간단하게 SSAP 가능 @@ 우리도 이고 해먹쟈 ( ˘ ³˘)♥ 1주,"['#마켓컬리존맛밀키트추천', '#마켓컬리', '#마켓컬리추천상품', '#마켓컬리밀키트', '#금미옥쌀떡볶이', '#타마루제면소마제소바', '#춘천닭갈비국물떡볶이', '#차돌듬뿍묵은지볶음밥', '#박막례묵은지비빔국수', '#차알차돌마라탕면', '#안원당소고기쟁반수육', '#밀키트', '#밀키트맛집', '#먹스타그램', '#맛스타그램', '#먹방', '#먹팔', '#소통']"
mukit_list,2021-09-14 00:00:00+00:00,영상,[먹킷📝] 요리똥손들은 바로 메모하자✏ 마켓컬리에서 안사먹으면 바보. 내가 만든 요리인척 하기 딱좋은 밀키트. 요린이들은 저장해서 참고하자@ 2주,"['#마켓컬리_밀키트추천', '#마켓컬리', '#밀키트추천']"
cwdk_1108,2021-09-29 00:00:00+00:00,영상,7분,"['#내돈내산', '#마켓컬리', '#마켓컬리쌀국수', '#마이하노이', '#마이하노이쌀국수', '#고기폭탄쌀국수', '#맛있다']"
buss_bubu,2021-09-29 00:00:00+00:00,영상,"[버쓰부부의 슬기로운 소비생활]⠀ ⠀ 상추 엄마가 하도 자랑질을 하는 통에⠀ 반 강제로 등떠밀려 구매한 컬리 퍼플박스 🟪⠀ ⠀ 컬리 오는 날은 박스와 전쟁하는 날이라⠀ 사실 그건 좀 불편했었는데….⠀ (누가보면 내가 하는 줄…. 신랑 미안 😅)⠀ ⠀ 문 밖에 두면 구매한 물건 ⠀ 아저씨가 여기 딱 넣어주고 가시는데… ⠀ 컬리 참 일 잘하심 ㅋㅋ⠀ 이런 발상 아주 좋다구요 ☝️☝️⠀ ⠀ 그나저나 이번 간식 저 맷죠칩은 흠흠🤔🤔⠀ ""맛이 없는데 자꾸 손이 가요""라는 후기가 많았는데 맛이 없다는 말을 새겨 들었어야 했나봄😂⠀ 자꾸 손이 가요를 믿고 샀는데⠀ 난 손이 안간다 ㅋㅋㅋㅋ⠀ ⠀ 믿고 먹는 노티드 식빵으로 입가심해야지 🍞⠀ ⠀ ⠀ 🤦🏻‍♀️⠀ ⠀ ⠀ 14분","['#상추엄마', '#컬리직원인줄', '#안사면큰일나는줄알았자나', '#근데참잘샀다', '#칭찬해칭찬해']"
bbang_woongji,2021-09-29 00:00:00+00:00,영상,. . 인스타에 인증하기 위해 일어나는 아침..🤣🤣 3일차네요 ㅋㅋ 신랑 출근할때 택배가 와서 택배 정리하구 유튜브좀 보다가 잠깐 눈붙이고 떴더니 9시... 3일차지만 오늘은 약간 반성공??😊😊 저 마켓컬리에서 시켰어요 ㅋㅋ 포장지 진짜 넘 귀엽죠! 종류별로 다르게 6개시켜서 냉동실에 넣으니 6개가 저렇게 웃고있어요😂😂 오늘도 비가오네요.. 오늘 기온낮다고 하던데 다들 운동 조심하시구 감기조심하셔요❤ 30분,"['#미라클모닝', '#훕훕베이글', '#마켓컬리', '#마켓컬리추천상품', '#베이글', '#통밀베이글', '#다이어트식단', '#빵수니', '#빵수니어터', '#다이어터', '#다이어트소통', '#수요일', '#수요팅', '#미라클모닝친구해요', '#식단소통']"
jjin_unnie,2021-09-29 00:00:00+00:00,영상,요즘 따뜻한라떼한잔 즐기는편☕ 마켓컬리에 판매되고 있는 제주도 유기농 로하스파파우유에 네스프레소 캡슐하나면 맛있는커피집 부럽지 않을만큼최고👍👍 우유가 진하고 부드러워서 고소해서 아침마다 건강하게 식사대신 한잔씩 마시는데 라떼에도 너무 잘어울림❤ @lohaspapa.official 31분,"['#우유', '#라떼', '#라떼맛집', '#라떼한잔', '#라떼스타그램', '#라떼만들기', '#커피스타그램', '#로하스파파', '#목초우유', '#유기농', '#유기농우유', '#유기농간식', '#마켓컬리', '#마켓컬리추천상품', '#마켓컬리추천', '#마켓컬리추천템', '#마켓컬리장바구니']"
leto_plum,2021-09-29 00:00:00+00:00,영상,21.09.28 늦게 올리는 점심식단🍽 에서 100% 메밀인 구매해서 냉모밀 해먹었어요! 쯔유랑 물 1:1 비율로 맞추고 청양고추 반개 총총 썰어 넣으면 소스 완성입니다요🌶 단백질 채우려고 삶은 달걀 한개도 먹어줬어요😝 100% 메밀인데 많이 끊기지도 않고 찰기가 어느정도 있어서 너무 좋았어요! 시중에서 많이 먹는 메밀 보다는 덜하지만 메밀 특유의 투박한 맛이 저는 좋더라구요😊 사진에 있는거 다 제꺼 아닙니다요😝 언니랑 같이 먹어서 많은 거에용ㅎㅎ 한봉지 다했는데 한 20그람? 정도 남겼어요 오늘도 잘먹었습니다😋 35분,"['#레토_식단', '#레토_점심', '#마켓컬리', '#간소주와리소바', '#식단', '#식단조절', '#식단일기', '#식단기록', '#식단공유', '#식단소통', '#식단스타그램', '#다이어트', '#다이어트식단', '#다이어터', '#다이어트일기', '#다이어트소통', '#다이어트그램', '#다이어트기록', '#유지어터', '#유지어터식단', '#지속가능한', '#메밀소바', '#소바', '#순메밀']"
alswjd2258,2021-09-29 00:00:00+00:00,영상,@janghotsauce 한국인에 맞게 만들어진 깔끔하고 감칠맛 나는 원래도 🌶매운소스는 달고 사는데 요건 인공적인 맛이 아니면서 막 맵지도 않아서 여러가지 음식에 다 잘어울리는 소스더라고요😍😍😍 한입먹자마자 맛!있!다 하면서 계속 찍어 먹었다눈~~ㅎ 하바네로가 들어있어 깔끔하면서 고추장 베이스로 만들어져 제입맛엔 딱인 여러요리에 잘 활용하고 있어요❤❤❤ 40분,"['#협찬', '#죙핫소스', '#마켓컬리', '#죙핫소스😁😁😁', '#죙핫소스', '#고추장핫소스', '#핫소스', '#세계죙복', '#비건', '#저칼로리', '#닭가슴살', '#다이어트', '#janghotsauce', '#맵덕', '#필라테스', '#고추장핫소스']"
jjuril_food,2021-09-29 00:00:00+00:00,영상,윽.. 맛은 있는 것 같으면서도 속이 이상하다 남친은 토할것 같다고 했다 44분,"['#마켓컬리', '#해초슬림다시마면']"
j___love___cook,2021-09-29 00:00:00+00:00,영상,- 여더분들의 수요병 지킴이 제이 왔어요 (비와서 개소리) 오늘은 점심시간이 두시간이라 인스타를 스리슬쩍 켜봅니당 제이식당 오늘의메뉴 아보카도덮밥 입니다 다들 누구나 아는맛이졍 어제 퇴근하고 먹은 저녁이예요 참치마요까지 같이 비벼 무떠용 제가 주말에 집앞에 아침 일곱시부터 땅파서 잠도 못잤다고 말한거 ㄱ나시나요 알고보니 개인사유지 공사🤦🏻‍♀️ 돈많은 부자 아저씨면 뭐해여 매너가 개똥인디 개똥도 아까븜 개는 귀엽기라더 하지 모이스처한 비오는 수요일 맛난 식사 챙겨드세용💜 _ 45분,['#아보카도덮밥']
withpuzu,2021-09-29 00:00:00+00:00,영상,"1일차 식단 🍽 - 토마토 달걀 볶음 - 양상추 샐러드 - 아메리카노 마켓컬리에서 구매한 저칼로리 발사믹 드레싱과 함께 ,, 토달볶은 소금간 하지않고 후추만 톡톡 뿌려 가볍게 먹기 49분","['#마켓컬리', '#다이어트식단', '#저칼로리', '#비비드키친발사믹드레싱', '#토마토달걀볶음', '#푸주야사랑해']"
yummyfoodi2020,2021-09-29 00:00:00+00:00,영상,쨈발라서 냠냠 😋 계란올려 냠냠 😋 귀여워서 냠냠 😋 순식간에 뱃속으로 사라진 노티드 🙂😋😝 52분,"['#노티드식빵', '#knotted', '#맛스타그램', '#집콕놀이', '#빵지순례', '#빵순이', '#마켓컬리', '#고마워요', '#품절템', '#eatstagram', '#yammy']"
archive.sally,2021-09-29 00:00:00+00:00,영상,"⠀ 달걀 처리(?) 고민하다 생각난 일본식 계란샌드위치! 저는 샌드위치 1개 기준 달걀 4개, 우유50ml, 참치액 1/4스푼, 곡물올리고당을 넣고 만들었어요! 설탕은 뺐고, 하얗고 촘촘한 일반 식빵이 아닌 ‘통밀식빵’ 으로 보다 다이어트식단에 가깝게 만들어봤어요! 묵직한 계란말이 덕분에 완전 든든해요!🥰 그리고 저 미니사과(루비에스사과) 진짜 진짜 맛있어요! 달달, 상큼, 아삭 완전 만족이라 재구매해서 쭉 먹으려고요! ⠀ R15 통밀식빵, 루비에스사과 @marketkurly 55분","['#마켓컬리', '#온더테이블', '#id_hannayeong07']"
ourreview.official,2021-09-29 00:00:00+00:00,영상,"등 쉬는 날 가장 힘든게 를 못받아서 아쉽지 않으신가요? 여러분 ✍ 이번 에 으로 먹었던 보여드렸는데 여러분이 생각하는 이 있으셨다면 알려주세요. ✍ 예시) 나만알고싶은 / 이유 : 갓 만든 치킨 텐더의 솔직한 맛, 샐러드부터 떡볶이까지 안 어울리는 조합이 없어요. 🎁 댓글로 작성해주시면, 꼼꼼히 읽어보고 미식콕이야기와 함께 다음주 3분께 '스타벅스기프티콘'을 보내드립니다. - 오늘도 고객의 한끼를 응원하는 - 1시간","['#공휴일', '#임시공휴일', '#추석연휴', '#택배', '#추석연휴', '#마켓컬리', '#샛별배송', '#마켓컬리장바구니', '#나만알고싶은', '#잇템', '#교촌리얼크리스피텐더', '#아워리뷰', '#추천템']"
dameokjjung,2021-09-29 00:00:00+00:00,영상,210929 오늘의 도시락 메뉴는~~! 베지볼은 후기가 좋아서 에서 구매했어요!! 180도에 10분정도 조리했고 아침에 한입 먹어 봤는데 간간하니 건강한 를 위한 식단 !! 제 기준 삼삼해서 뿌려왔어요ㅋㅋㅋㅋㅋ 다음엔 구매 도전 예정 ~! 혹시 팔레펠 드셔보신 분 계시면 후기 알려주세용🧆 다들 하시고 직딩분들 수욜 홧팅🙋🏻‍♂️ 1시간,"['#다먹쩡_도시락', '#직장인도시락', '#흑미밥', '#베지볼', '#우엉조림', '#가지볶음', '#무나물', '#진미채볶음', '#마켓컬리', '#에어프라이어', '#다이어터', '#비건', '#케찹', '#팔라펠', '#맛점', '#먹팔', '#먹스타', '#먹스타맞팔', '#먹방', '#먹스타그램', '#먹팔환영', '#맞팔', '#선팔', '#맛스타', '#좋아요반사', '#좋아요테러', '#좋아요', '#집밥레시피', '#다이어트', '#다이어트식단']"
