product_name,product_price,product_content,product_code,product_url
[남향푸드또띠아] 간편 간식 브리또 10종,"2,900원",가볍고 든든한 멕시칸 푸드,27449,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=27449&page=
[연세우유 x 마켓컬리] 전용목장우유,"1,850원","가격, 퀄리티 모두 만족스러운 1A등급 우유",63110,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=63110&page=
[하림] 냉장 닭가슴살 4종,"1,700원",간편하게 꺼내먹는 냉장 닭가슴살!,51264,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=51264&page=
[KF365] 애호박 1개,950원,"믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",30559,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=30559&page=
[KF365] 1+등급 무항생제 특란 20구,"7,200원",1구 당 판매가 : 360원,56791,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=56791&page=
[KF365] 아보카도 1개,"2,150원","부드럽고 상큼한 과육, 숲속의 버터 (1개)",491,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=491&page=
[KF365] 김구원선생 국내산 무농약 콩나물 300g,900원,"믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",69371,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=69371&page=
[미트클레버] 한돈 떡갈비,"2,900원",간편하게 즐기는 도톰한 떡갈비,36067,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=36067&page=
[탄단지] 가벼운 한식 도시락 6종,"4,200원",다채로운 한식메뉴로 즐기는 도시락!,60785,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=60785&page=
[서울우유] 비요뜨 요거트 5종,"1,330원",토핑을 곁들인 간편 요거트,48086,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=48086&page=
[커피빈] 헤이즐넛 라떼 파우치,"1,400원",커피빈 라떼를 어디서나 간편하게,49857,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=49857&page=
[Better me] 닭가슴살 큐브 6종,"1,600원",무항생제 닭가슴살을 사용한 간편 큐브(신규옵션추가),52644,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=52644&page=
[KF365] DOLE 실속 바나나 1.1kg(필리핀),"2,980원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",31441,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=31441&page=
[서울우유] 삼각 커피 우유,880원,40년 넘게 꾸준히 사랑받는 추억의 커피 우유!,45156,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=45156&page=
[더오담] 에어프라이어 돈까스 4종,"2,600원",(신제품 출시) 골라먹는 재미! 에어프라이어로 간편하게,50287,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=50287&page=
[치엔바오] 대만 샌드위치 4종,"1,900원",부드럽게 즐기는 달콤한 간식! 한라봉 샌드 신규 오픈!,49537,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=49537&page=
