Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,1,Animals; live,1,No Quantity,0,,,,0,,108522864,,,0
H5,2017,2017,2017,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,1,Animals; live,1,No Quantity,0,,,,,,128733708,,,4
H5,2017,2017,2017,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,1,Animals; live,1,No Quantity,0,,,,0,,268917516,,,4
H5,2017,2017,2017,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,1,Animals; live,1,No Quantity,0,,,,0,,567623824,,,4
H5,2017,2017,2017,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,1,Animals; live,1,No Quantity,0,,,,0,,10492561,,,4
H5,2017,2017,2017,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0,,,,0,,188848913,,,0
H5,2017,2017,2017,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0,,,,0,,546792953,,,0
H5,2017,2017,2017,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0,,,,0,,1109214695,,,4
H5,2017,2017,2017,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0,,,,0,,1554517164,,,4
H5,2017,2017,2017,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0,,,,0,,339645373,,,0
H5,2017,2017,2017,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0,,98104154,,,0
H5,2017,2017,2017,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,,,878240878,,,4
H5,2017,2017,2017,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0,,353808540,,,4
H5,2017,2017,2017,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0,,1435126773,,,4
H5,2017,2017,2017,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0,,1360641044,,,4
H5,2017,2017,2017,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0,,1409897021,,,4
H5,2017,2017,2017,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,,,1038389773,,,4
H5,2017,2017,2017,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0,,992429488,,,4
H5,2017,2017,2017,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0,,4070104852,,,4
H5,2017,2017,2017,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0,,580156327,,,4
H5,2017,2017,2017,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,,,2441854,,,4
H5,2017,2017,2017,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,,,92619885,,,4
H5,2017,2017,2017,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0,,112029884,,,4
H5,2017,2017,2017,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0,,167619239,,,0
H5,2017,2017,2017,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0,,191974496,,,4
H5,2017,2017,2017,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,22669361,,,0
H5,2017,2017,2017,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,,,110191379,,,4
H5,2017,2017,2017,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,380566949,,,0
H5,2017,2017,2017,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,366345248,,,4
H5,2017,2017,2017,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,46285061,,,4
H5,2017,2017,2017,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,450443611,,,0
H5,2017,2017,2017,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,291621647,,,0
H5,2017,2017,2017,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,685342360,,,4
H5,2017,2017,2017,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,,,2043727166,,,4
H5,2017,2017,2017,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,603618902,,,4
H5,2017,2017,2017,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,8,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,175534860,,,0
H5,2017,2017,2017,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,8,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,892216964,,,4
H5,2017,2017,2017,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,8,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,1222518602,,,4
H5,2017,2017,2017,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,8,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,2269845716,,,4
H5,2017,2017,2017,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,8,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,737144537,,,4
H5,2017,2017,2017,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,423771097,,,4
H5,2017,2017,2017,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,715776006,,,4
H5,2017,2017,2017,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,567579918,,,4
H5,2017,2017,2017,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,656825041,,,4
H5,2017,2017,2017,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,125696818,,,4
H5,2017,2017,2017,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,0,,,,0,,2751206985,,,0
