Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
TOTAL,66763870,82444514,78657518
270900,1750712,3562761,2909011
100119,2636490,2804783,3024161
100590,1729440,1880587,1925666
999999,1098413,1484643,1734240
300490,1667747,1720548,1915391
870323,1031153,1633012,1676771
271012,4849321,6150588,5388911
20230,1028271,1148863,1491463
851712,559328,1031141,1579635
870322,433944,819708,641990
271113,1279788,1288662,1074880
720449,538466,867255,778028
260112,794346,967781,866828
151190,744370,686162,655552
732690,1101446,1016249,953403
440710,739171,900326,792221
740311,487049,694443,565789
271111,2233177,1131521,0
390210,381821,477859,473040
20622,310762,345109,331053
390110,338709,390382,373438
80810,218414,229470,410168
852990,536785,578843,688339
240110,66909,209147,341664
401120,241454,289417,312184
390120,223913,299528,311440
71350,221635,259558,331636
730619,460076,481246,425227
540772,40744,89213,145434
720719,1101484,1630079,1061594
870120,82762,199696,269443
870210,65482,126559,207914
390410,200488,244411,230866
720839,246703,259645,155683
210690,170935,197977,229656
848180,354212,337636,301314
30354,257266,217313,231432
40210,128118,142230,193053
841370,217618,241128,227291
551219,310079,383386,383781
470500,211900,264990,227790
851762,337611,257818,352823
847989,183387,330229,283106
720837,188891,221001,279110
870829,239194,314496,255028
90240,261174,302050,256613
870899,212011,249529,224071
540247,50596,96867,250595
520100,236963,256523,236285
847130,37874,196515,235765
851770,343502,356253,336669
392190,156153,188178,180799
160414,82755,180753,162117
848790,280624,308643,291337
382200,175011,181820,173648
30617,68986,136630,164142
480255,112459,132759,133452
291739,5590,54019,208655
853710,150282,176999,219726
392690,156602,184782,196544
870421,162839,142960,164999
300420,98516,87735,129558
901890,157849,193570,174093
271019,838273,822812,538259
710812,161033,330387,98121
730890,163526,332217,234171
441231,164768,209288,192271
720851,87524,134972,79246
390690,172493,162960,170004
300410,28365,45270,88331
441114,95286,116464,112199
481151,120104,145500,132765
481092,137387,146711,138403
540246,97601,190479,196234
10290,75113,153511,109866
850440,95486,165015,155399
600690,28355,65414,112636
294190,93034,94889,100007
320611,130349,126498,136472
880320,0,0,1456
390230,128837,171017,156475
271490,132046,237691,203646
30351,71381,85753,113144
401110,145250,175021,154380
760612,72255,91407,90479
720890,47371,46896,61753
842951,76824,112253,126395
721049,151370,174526,163679
870423,61316,115225,127928
120190,0,0,0
580190,12022,72967,85001
440792,133106,120235,136023
40510,93158,128478,89807
880330,0,5,711
270400,117157,240098,326864
520522,88345,133023,119934
120600,110372,127723,149692
90111,90469,105421,107310
870422,44209,79657,86838
520942,125020,208869,197854
382479,64984,111819,138144
870850,79490,113051,101069
847290,35061,23704,73356
300230,79536,94956,117228
847150,20715,37047,70871
390720,91977,113520,121184
290315,30891,64791,116474
730719,123800,142952,139438
761510,52329,78102,82093
283620,92762,97670,126068
382490,196835,213763,205303
842810,57947,62679,118520
540233,282422,280116,119627
120740,41688,77590,91273
230990,150926,177261,102926
310590,34292,56211,75160
40690,75569,91025,92472
843049,41510,72116,91939
330290,89955,114922,104622
841480,108698,63545,85589
720429,17610,32916,121453
721012,69298,76452,82026
480257,71061,62496,106199
151211,323666,389449,248579
70110,85661,82993,102982
721990,61382,68974,76849
842240,77263,81144,87762
481013,22563,40071,36004
30369,76321,164994,200165
854442,85270,75763,115568
240399,173449,147700,158494
853620,60407,100559,95747
842129,43921,26118,77126
71340,89982,85648,54967
190110,66216,86381,67535
841869,65770,69141,88893
300210,17465,21678,90537
392020,76451,79016,75863
230310,88786,97568,84288
711319,1066,1533,2369
841430,96937,98593,105563
40490,43386,48220,61797
871410,41011,57359,64374
870321,107506,167577,79585
20712,123510,72644,117734
854511,51114,234371,167765
850220,1189,24242,96271
850213,58664,61831,92458
760120,15781,45283,91166
481920,91932,114672,104397
842121,65524,46572,53468
610990,1938,27177,51738
840732,18833,46956,41657
854140,71230,533855,280263
720230,52208,50669,61712
850710,61696,76612,79247
391729,44276,75838,62738
581100,42212,40376,78533
830990,58882,68249,68482
721391,23054,18511,43627
854420,173855,162925,117730
848330,36604,48561,64426
551511,7658,30714,77661
30389,17797,24700,28701
870600,39420,96901,62228
570500,27987,64739,77896
732393,25734,45547,55009
842833,35461,42275,36008
321519,44231,48502,61257
731815,59787,86371,71703
480421,95760,132835,87179
870324,107631,62579,76704
841510,43578,60014,65864
760511,4465,57235,40946
870190,27580,41343,58478
390760,190500,274874,232647
850423,20712,31995,25921
320890,56550,103685,78584
290122,85433,76067,129367
842123,58621,73184,84880
841821,89221,97076,81276
790111,58518,66378,69266
854449,51127,60259,54064
391990,50322,59829,59869
300220,32369,76353,65979
480411,46389,75704,53662
271311,88283,76271,42468
847780,31991,49740,70401
840734,50630,75173,64945
600490,87917,123456,87716
40590,27038,66883,52191
870590,33770,58812,59656
841590,36425,54215,65344
390930,22379,43002,48205
180500,36177,42337,50152
151620,55792,59193,53752
847710,41225,56840,58929
842230,48885,67453,70418
844339,26840,44322,48503
380892,79063,73932,86178
100630,49337,63444,290687
841459,51055,55369,53936
40221,57574,96152,90478
390130,21314,36934,37335
841199,147116,141768,50242
853890,45102,58145,77639
230630,47871,36211,36288
860310,1133,660,6987
401192,659,15673,42260
283526,3341,20866,44221
853720,49732,75088,51434
481019,45597,57787,64071
730519,15818,106959,9852
390311,36662,57743,54174
940540,39470,42809,54164
90411,55707,37682,46082
630790,6666,7381,8420
390319,80096,86536,79370
950300,19623,44832,51917
600192,18667,24133,37918
292910,65311,124817,57207
848210,41955,53651,55844
480256,53372,69820,59446
851769,65947,149692,124103
721070,41891,48244,54418
850152,39668,52316,52636
480100,53353,69374,76987
391739,20674,30169,37292
850140,72597,64533,57697
270112,97825,257081,139936
