Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
TOTAL,420369150,464276595,455289486
999999,15068689,17161437,37976315
854231,8903301,11324947,12855665
271012,14935298,19419809,17337809
847330,5899991,7960239,9089679
851762,6016186,6467297,6105722
271019,9832637,13898003,12191868
847170,5551469,6583510,5566293
271121,4857814,5628694,5293629
870840,5006599,5623898,5562611
901380,3642734,3028794,3813734
870829,4942699,5274740,5024076
854239,3883838,3914256,4177942
392690,4251939,4387504,4513728
840820,4451645,5579996,5529510
851712,4711239,5130524,5187064
852990,4169003,3730567,3497341
853890,3727102,3911406,3895712
853690,3270780,3555729,3705930
870899,3221146,3496512,3743200
870323,6472373,5376989,4837628
852351,1108336,1146740,1482862
850440,2202315,2332649,2507301
840991,2919850,2890964,2826514
732690,2369549,2479910,2518990
853400,2258842,2525953,2521479
100590,2815937,3256092,3153985
854232,3375618,3812176,4020749
870850,2651300,2765439,2666205
840734,2200842,2920425,2543682
870830,1907186,2132277,2198992
847130,1812143,1904113,1846309
300490,1914404,2034655,1955671
901890,1529381,1637760,1833344
760612,1436122,1848319,2043759
851770,2404708,2377444,2020556
870894,2003007,2203929,2012685
854442,1682293,1700331,1756554
870322,2605710,3154675,2814019
853710,1786606,1952936,1896590
271112,1656559,2112914,1340543
854370,1587807,1721979,1660878
330210,1456295,1498730,1439524
381512,879176,1143684,1480007
854449,1729940,1808680,1706194
847989,2056234,1923574,1820431
870880,1405921,1602947,1625386
848180,1640731,1467607,1471575
731815,1404197,1534761,1585515
382490,1103040,1189806,1141749
842139,1153333,1481392,1647721
848071,1343912,1457557,1277994
854140,1467929,1307691,1380608
850131,1431508,2068426,2315533
120190,1731753,2001486,1940407
940190,1510128,1470913,1400592
401110,1408766,1478603,1355963
847150,927706,1042615,1257296
392310,1001957,1103357,1192508
848190,1073333,1237081,1267472
870895,1497555,1423626,1412177
853650,1206254,1219455,1171135
847180,338064,432424,650676
401120,1241752,1296034,1273420
840999,1022287,1060230,1086572
841490,1017984,1016656,1019443
850300,905698,1065031,1015712
870324,1857164,1826217,1494536
903180,1095045,1136775,1003686
841430,1006504,941706,921171
260300,203454,561715,780369
903289,998572,1001521,1076514
853224,688714,768562,925245
630790,360897,375335,388352
841199,873730,893469,1011582
760120,1296670,1671769,1096916
284390,271651,410441,525687
850760,370971,415269,504825
300210,684564,813473,716642
848310,883111,906639,903469
390210,892984,1037848,854344
870893,782038,894162,900356
841191,1400075,1468440,1507118
390120,748484,948875,804623
850450,616182,720685,718888
950300,840743,908172,991484
848340,792435,841997,802933
844399,958005,966913,1061830
230400,702964,669142,640783
401693,908864,845625,817406
851220,851583,936322,869215
481910,700662,709981,717995
851290,585000,691191,735257
390740,696625,787774,739177
870870,939224,886919,859965
391990,682131,750068,723087
401699,694299,743084,757898
854430,863673,821033,832883
901839,624135,668175,691384
841480,731092,884995,767612
392190,663194,680930,688536
20312,1068668,1017748,1161577
870431,1473482,1351443,1212459
841330,755826,768950,724818
852872,553932,694984,714588
392390,565759,597092,626737
740811,776758,820810,754681
820730,688364,929437,672228
850110,609700,652752,657159
392010,553166,586773,572470
841391,659759,694474,672856
830230,620171,707009,702893
761699,598869,612958,610403
847990,754652,645928,617960
391732,559645,576381,556130
390230,617962,768608,670064
852580,426136,550055,561128
210690,613642,639839,569994
721049,1005113,850525,703250
854129,471179,536754,563114
854470,399155,451965,462117
390110,540454,635411,476234
391910,514991,522535,538099
854121,413073,437742,451084
20713,386447,380352,473207
20130,703464,759822,735032
720449,337982,467475,281191
848210,530131,554793,517741
480411,481349,518469,497086
382200,285441,306150,308427
841360,393569,422239,451024
731816,470582,516205,511224
841459,435590,450173,446364
40210,703741,697220,793074
392112,503300,578950,562262
848390,456914,468684,472344
850140,316025,353436,381832
390810,418471,508255,515738
853669,433573,464941,489419
841510,409607,470491,465135
852871,1410788,1155144,1336810
851830,280999,317134,387779
391740,429966,454594,441668
310210,477656,489772,425679
841590,492803,507087,461952
848330,519645,461213,470356
870892,339814,387646,475845
847160,383920,397466,493289
120510,702132,649281,0
852859,420946,452616,453957
851150,422249,418844,449044
871690,429762,537869,582905
392350,342350,376600,379492
392062,194477,240695,277728
330290,269392,297588,321782
830160,397608,421549,391645
610910,310512,383312,410820
841899,415821,437534,419043
854110,387561,451818,425350
732020,452072,457037,444702
848350,433845,425330,425349
390690,447890,449699,423326
901819,222118,247904,257430
853641,439038,455985,418850
950450,461767,500348,472865
847710,621881,552003,466077
390190,425593,482618,418055
440710,407789,433536,335665
390720,393180,425126,391451
722592,556270,548121,532080
851140,383899,392102,406774
842199,265359,302182,319808
283620,300261,338142,352353
740311,217230,367414,382031
392113,379155,404338,394965
848120,384006,416314,416630
392099,331351,428865,477827
902620,338319,361688,364164
854160,316157,303135,302517
640411,465114,465752,506384
330499,342321,389391,393949
390799,364477,385671,374363
853120,412543,406223,423986
902790,170706,207488,264598
854810,407736,441942,402427
722530,375090,478615,478804
871410,232987,271657,306736
480810,350268,380216,358780
720851,180488,242645,338879
851890,395264,383054,342212
170260,420484,402231,382148
854390,255905,293522,374020
392321,259851,293470,298093
851190,361876,379370,348554
100610,254921,253789,0
760711,255769,294320,292862
481920,275746,301254,320565
392329,249257,259675,283754
902690,298065,329699,303946
903290,346194,373650,350878
290919,611302,623914,365272
392020,328665,351404,336071
842129,347448,268500,264863
850490,232162,252397,268819
902890,351370,389956,230775
290250,777763,890975,630712
732619,269344,314876,319661
842481,306185,293725,284805
350691,312952,314525,295974
482390,267665,278968,271668
120991,323801,379045,364765
320611,265608,271996,250150
390330,316815,344764,292547
844332,292541,302273,281298
390410,242813,258800,241943
842230,391328,370089,315898
850431,289625,291492,274534
760429,284207,330741,329392
