Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
TOTAL,98484468,115119184,112908749
854239,0,3453747,5445732
854231,0,2215530,2020052
271019,3177200,3634418,4156645
854290,6422589,10552486,5258939
847330,4743333,1716946,2058231
271012,0,2457086,3193056
100199,0,1669305,1716189
270900,3476644,5160572,3468523
851770,0,648272,996653
270119,1079793,1387336,1360897
851712,0,1224532,1274595
300490,948692,955905,987716
230400,611378,1124243,1075994
851762,0,598980,914901
870421,794340,1182811,1469102
871120,418104,759498,1008810
210690,694002,671116,753356
870322,185317,834824,926282
100630,244779,701743,978644
151800,628841,570638,594362
720711,879121,1379120,656613
853400,410268,518966,535821
854140,172311,214367,365381
847130,279100,321563,341092
854232,0,678035,652457
40210,337675,296796,378436
854110,101660,164128,362163
880330,467962,1196396,1333045
870332,1167328,1315607,873237
903090,229263,299206,272104
260111,343577,301910,399315
381800,160262,162081,281657
854150,209774,165554,275123
880240,961205,1879358,1123082
392690,271378,282914,359181
210112,229906,429860,468187
20230,365445,407911,385376
720720,89670,448601,572073
853690,363910,365930,381897
271119,253200,232062,376587
870390,698757,428445,573610
870210,663929,526850,685767
850440,172125,237768,438891
20714,228396,267105,311457
721391,39157,195846,201701
847990,464868,607740,496511
310210,240871,260151,261028
252329,205644,275935,298229
852990,484586,370224,343672
854129,153526,256098,272345
730890,228217,243155,324637
690890,287847,298137,312190
270112,386178,421857,443239
961900,0,221661,256881
850760,0,28330,65232
80810,152630,161130,169102
271113,175317,195770,198914
721049,265065,350779,291858
853224,250913,250241,286135
850511,20515,42655,137572
853710,142211,218456,260658
852872,0,275209,302216
230990,214225,263276,240304
854449,157046,249196,283197
854442,0,122037,253692
330210,215446,228956,256274
844399,0,1285384,883770
871190,531397,496093,347275
903082,218831,181892,154846
853120,91520,127335,260211
100590,104006,223424,110641
854470,81676,104251,119239
730820,64287,96968,120137
271112,178867,226361,198108
848690,0,178314,164354
870899,215803,393679,354637
853590,109203,157793,187845
240120,125644,210312,169803
841510,191848,201546,234357
210111,209461,94512,157724
