Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
TOTAL,640907689,671694258,692494170
710813,34335602,25385997,70715586
270900,20710133,26347851,24535365
999999,13494215,14038952,12974896
300490,14733299,13635385,11806011
851712,10450931,11160500,10618045
847130,6142362,7233363,7549603
271019,13670718,17901059,16489881
870322,8571133,9753308,10313265
851762,6449672,7661834,7663789
841191,10321141,9745240,9503540
870323,7535786,9021771,9553358
841112,7907943,8680423,9044322
870332,16973864,13240324,9966154
630790,351586,384311,419788
870421,4782926,5067922,6042585
870380,443555,398532,1246865
271121,9575038,12500686,5313515
880240,8995777,5270443,4682835
300215,6291367,5111768,3930417
870899,3555233,3995103,4640760
300390,4132975,3157414,4004235
870321,2704126,4242431,4766773
870340,1171712,1670115,1839508
880330,3902037,4500731,4570694
621010,58054,55263,51596
711021,648666,1034817,1675813
220421,2652036,2746328,2787570
950300,2810872,2795968,2728911
711299,895650,1110789,1332338
710691,2561734,1672257,1570413
382200,1103111,1226185,1304906
271111,1127629,1487557,2888503
852872,2024692,2251768,2057388
190590,1726553,1917228,2127508
847150,2018505,2548708,2298224
901890,1814812,1895880,1980884
711029,755859,505041,1541157
711031,128802,241843,520787
392690,1809576,1919091,1941256
870360,521121,452371,754416
847330,1993891,2282755,2084069
870829,2999761,3551070,2842187
711319,2487907,2607256,4034872
847170,1572686,1865479,1710700
210690,1812991,1940950,1767835
440131,1238371,1493797,1672006
840991,2381116,2634293,2344400
940360,1817176,1914384,1922321
610910,1686715,1817339,1897669
870840,3038802,2937723,2350985
401110,1965914,2083649,1940949
848180,1774311,1858519,1856973
950450,1216620,1122702,992657
850440,1345227,1390058,1499088
711019,849275,856961,1905616
844399,1673508,1847931,1700995
732690,1123184,2941451,1891805
711230,773994,903251,1087828
392620,172778,201722,191159
330499,1564393,1641441,1625404
853710,1508782,1702415,1676797
160232,1252768,1356045,1406403
271012,2254247,3165796,2789026
640399,1441753,1498704,1550846
970110,1786196,1988713,1958054
293359,775552,1349901,1374212
40690,1115648,1294776,1260339
300220,2215519,2200135,2062191
611020,1195446,1298348,1327907
847149,1048710,1217883,1334075
870333,2798093,2700793,2460467
382499,885062,1174079,1214040
490199,1226388,1306869,1268650
840999,1561199,1774569,1622927
852580,1059616,1104010,1089639
760612,1652375,1698336,1413539
854430,1652890,1673126,1475390
852852,1141890,1238928,1136383
382600,315139,660984,1017008
854449,1145335,1265191,1193650
870324,1215579,1323661,1171044
340220,742891,787013,872781
611030,1340681,1390353,1320185
940190,1590438,1563471,1573097
230910,842496,878187,928027
330300,1121883,1219847,1161844
180690,1029063,1106667,1012199
870830,1309820,1438063,1324703
640411,980873,1021579,1019586
870120,603303,459460,659331
854370,1039560,1171325,1166914
640419,1044038,1061370,1120271
730890,781013,1602300,2058241
940161,984165,1022748,1078429
271600,1126437,1748562,1353919
300439,792689,854308,924940
901839,851137,889707,953358
440712,928147,995579,872670
847989,777475,860959,931486
851770,839437,794198,901754
854231,868327,965212,813839
